hex_id,bike_track_m,bike_lane_m,cyclestreet_m,road_length_m,n_ubahn_stops,n_sbahn_stops,n_tram_stops,n_bus_stops,n_bike_shops,n_bike_repair,n_bike_parking,n_bike_rental,n_traffic_signals,n_restaurants,n_cafes,n_shops,n_supermarkets,n_offices,n_schools,n_universities,n_parks,dist_hauptbahnhof_m,dist_alexanderplatz_m,has_ubahn,has_sbahn,has_tram,has_bus
0,859.38,0.0,324.89,2760.36,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19313.445404634636,22405.363895700597,0,0,0,1
1,1738.19,15.82,0.0,3843.73,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,23.0,2.0,1.0,0.0,0.0,0.0,18672.895407394924,21882.2191114024,1,0,0,1
2,0.0,0.0,0.0,1625.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18051.173712347623,21381.36326757984,0,0,0,0
3,0.0,0.0,0.0,1897.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17450.29288840504,20904.39851134055,0,0,0,0
4,533.69,0.0,0.0,3177.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16872.479704797883,20452.996334561543,0,0,0,0
5,370.85,0.0,0.0,1888.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16320.184462396337,20028.88516623836,0,0,0,0
6,483.69,0.0,0.0,1967.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15796.084020554761,19633.833628283017,0,0,0,0
7,0.0,0.0,0.0,3912.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15303.075504032937,19269.62908007739,0,0,0,0
8,0.0,0.0,501.94,4597.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14844.257117819212,18938.05129427274,0,0,0,0
9,0.0,0.0,0.0,2724.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14422.892181448504,18640.841417844407,0,0,0,0
10,0.0,0.0,0.0,2479.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14042.352665257482,18379.666773528515,0,0,0,0
11,0.0,0.0,0.0,1741.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13706.039467083769,18156.082524782,0,0,0,0
12,0.0,0.0,363.93,1423.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13417.278687238288,17971.491718480283,0,0,0,0
13,212.39,0.0,140.19,4597.85,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,13179.196366576609,17827.10566884397,0,0,0,1
14,0.0,0.0,0.0,1623.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12994.578345084909,17723.906975293077,0,0,0,0
15,213.26,882.34,0.0,3316.66,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,12865.726402513214,17662.61759789792,0,0,0,1
16,1079.22,894.65,0.0,3421.55,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12794.325514152457,17643.674287128746,0,0,0,1
17,0.0,0.0,0.0,1219.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12781.3385394436,17667.213257642434,0,0,0,0
18,0.0,0.0,0.0,1664.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12826.94290770949,17733.065336589272,0,0,0,0
19,334.52,0.0,104.56,6103.28,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12930.518700168497,17840.761984076344,0,0,0,1
20,0.0,0.0,0.0,6074.77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13090.68994947046,17989.551692945894,0,0,0,0
21,355.64,0.0,0.0,2086.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13305.412915461473,18178.425455849767,0,0,0,0
22,0.0,0.0,0.0,3826.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13572.098671491936,18406.14935271976,0,0,0,0
23,0.0,194.25,999.26,2493.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13887.754024552643,18671.301934662763,0,0,0,0
24,0.0,478.66,481.08,2275.38,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14249.124932578767,18972.313983171698,0,0,0,1
25,0.0,0.0,12.66,1768.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14652.829448335708,19307.50837930113,0,0,0,0
26,0.0,0.0,0.0,887.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15095.471517637632,19675.138163619868,0,0,0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15573.731403794462,20073.421325180334,0,0,0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16084.432204318253,20500.571349085265,0,0,0,0
29,0.0,0.0,467.04,1292.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16624.584470990387,20954.82301475419,0,0,0,0
30,748.26,0.0,0.0,3112.51,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,19160.67995255197,22096.2513173921,0,0,0,1
31,0.0,0.0,0.0,2332.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18494.58044243858,21548.213480982813,0,0,0,0
32,693.19,0.0,0.0,3980.16,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17845.653679246323,21021.57668117994,0,0,0,1
33,254.77,0.0,0.0,2885.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17215.841679609064,20517.98889032372,0,0,0,0
34,509.02,0.0,0.0,2580.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16607.31929707881,20039.187858896865,0,0,0,0
35,0.0,0.0,0.0,1654.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16022.51240389468,19586.99139696914,0,0,0,0
36,0.0,0.0,0.0,2071.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15464.111782792577,19163.282963147056,0,0,0,0
37,480.49,0.0,0.0,3057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14935.079602347952,18769.991898409557,0,0,0,0
38,494.81,0.0,0.0,2715.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14438.644404036922,18409.067814723083,0,0,0,0
39,0.0,0.0,0.0,3865.3,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,13978.279641071336,18082.448942214276,0,1,0,1
40,0.0,0.0,0.0,4335.13,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13557.660241418744,17792.024665239678,0,0,0,1
41,0.0,0.0,0.0,1965.53,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13180.591819775298,17539.593029179137,0,0,0,1
42,253.23,0.0,0.0,2892.89,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12850.908536647861,17326.814640029614,0,0,0,1
43,502.36,0.0,0.0,3311.6,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12572.338673256716,17155.16503886444,0,1,0,0
44,341.61,0.0,175.72,5008.3,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12348.341962095514,17025.88821328878,0,1,0,1
45,835.74,620.85,0.0,5474.43,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,35.0,1.0,2.0,0.0,0.0,0.0,12181.929186734711,16939.954291323575,1,0,0,1
46,846.52,49.95,0.0,4667.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,12075.481282681583,16898.024539361286,0,0,0,1
47,0.0,0.0,116.39,2395.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12030.590081378186,16900.426482002415,0,0,0,0
48,0.0,0.0,0.0,860.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12047.943691930412,16947.14126967419,0,0,0,0
49,0.0,0.0,0.0,4072.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12127.274908308504,17037.80441122054,0,0,0,0
50,887.28,0.0,228.32,5921.58,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12267.381391293784,17171.71980599881,1,0,0,1
51,845.38,0.0,0.0,3832.7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12466.214168593297,17347.885837659353,0,0,0,1
52,843.37,0.0,0.0,3791.71,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12721.019817412469,17565.031311591127,0,0,0,1
53,0.0,0.0,484.87,3193.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13028.51467715296,17821.658366098287,0,0,0,0
54,0.0,0.0,479.33,2115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13385.067956142122,18116.089226392753,0,0,0,0
55,0.0,0.0,1008.34,1380.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13786.873963603997,18446.51378443455,0,0,0,0
56,0.0,0.0,0.0,249.63,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14230.099900776257,18811.035397873693,0,0,0,1
57,0.0,272.65,0.0,1511.69,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14711.002436403682,19207.712895626453,0,0,0,1
58,0.0,235.17,0.0,1049.96,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15226.012024875,19634.597439762583,0,0,0,1
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15771.787840297888,20089.763526786704,0,0,0,0
60,0.0,0.0,0.0,937.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16345.24827517649,20571.33395049905,0,0,0,0
61,1336.31,0.0,0.0,4081.78,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18355.43485151298,21244.281470658694,0,0,0,1
62,1793.61,229.77,0.0,5314.45,2.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,7.0,1.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,17680.210351856727,20691.80217248583,1,0,0,1
63,0.0,0.0,0.0,4909.24,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,17022.270341633983,20161.395266350348,0,0,0,1
64,0.0,0.0,0.0,1898.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16383.697295831527,19654.84777419383,0,0,0,0
65,0.0,0.0,0.0,1463.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15766.844534629541,19174.05077096188,0,0,0,0
66,0.0,0.0,0.0,2317.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15174.36114230084,18720.988352866672,0,0,0,0
67,0.0,0.0,0.0,1818.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14609.212352989944,18297.72081022402,0,0,0,0
68,0.0,0.0,0.0,2615.94,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14074.691295815483,17906.361126415635,0,0,0,1
69,541.63,0.0,0.0,3225.19,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,13574.416546219618,17549.044154321764,0,0,0,1
70,0.0,0.0,0.0,2342.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13112.308494999676,17227.888224360253,0,0,0,0
71,0.0,0.0,0.0,3901.41,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12692.53653001718,16944.949531107544,0,0,0,1
72,1298.37,0.0,0.0,4810.06,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12319.429088378374,16702.17041442503,0,1,0,1
73,721.08,12.14,0.0,5631.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11997.340645382696,16501.32353762012,0,0,0,0
74,282.7,0.0,0.0,5115.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,11730.4745027269,16343.954859027994,0,0,0,1
75,511.17,1047.46,0.0,4520.54,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,37.0,2.0,4.0,0.0,0.0,0.0,11522.668161363106,16231.329039073285,0,0,0,1
76,47.92,0.0,0.0,4032.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11377.158303138167,16164.381346509519,0,0,0,0
77,731.02,0.0,442.51,5255.35,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11296.352533116038,16143.680071660003,0,0,0,1
78,235.64,0.0,873.46,3247.69,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11281.641283527892,16169.40283983379,0,0,0,1
79,912.4,64.3,0.0,6222.43,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11333.281940725205,16241.329075465008,0,0,0,1
80,494.71,21.03,129.87,6016.6,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,15.0,10.0,0.0,31.0,1.0,6.0,0.0,0.0,0.0,11450.376808024572,16358.849350681108,0,0,0,1
81,0.0,0.0,16.65,2472.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11630.949167781082,16520.990709366954,0,0,0,0
82,450.69,0.0,102.89,2709.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11872.102932559277,16726.455570733422,0,0,0,0
83,358.05,0.0,0.0,4614.96,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12170.237365764953,16973.67072558119,0,0,0,1
84,0.0,0.0,242.35,2643.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12521.282962892366,17260.842385038977,0,0,0,0
85,0.0,0.0,515.05,2713.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12920.927851148243,17586.013242968656,0,0,0,0
86,0.0,0.0,538.06,1071.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13364.81298156975,17947.11797817625,0,0,0,0
87,0.0,0.0,0.0,811.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13848.68497476095,18342.034392710404,0,0,0,0
88,7.33,422.08,0.0,3085.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14368.504620449929,18768.62828243021,0,0,0,0
89,0.0,0.0,0.0,1300.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14920.515223196882,19224.79101433229,0,0,0,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15501.278141606277,19708.469536863995,0,0,0,0
91,380.74,0.0,67.61,3463.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18256.354275550817,20971.730643585863,0,0,0,0
92,0.0,753.19,120.69,3582.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,17555.976786615487,20393.495730939012,0,0,0,1
93,820.08,0.0,0.0,4148.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16870.98605387223,19836.225701190036,0,0,0,1
94,1285.56,16.73,141.33,3642.32,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16203.333605394651,19301.73650243062,0,0,0,1
95,1047.52,0.0,0.0,2528.29,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15555.252149208667,18791.972061227847,0,0,0,1
96,530.68,15.54,0.0,3379.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14929.290636974958,18308.997675752904,0,0,0,1
97,437.07,0.0,0.0,2773.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14328.348419166401,17854.987477773142,0,0,0,1
98,0.0,0.0,0.0,3534.24,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13755.704922641877,17432.204673309505,0,0,0,1
99,0.0,0.0,0.0,3355.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13215.039440597599,17042.97338239035,0,0,0,0
100,434.14,0.0,0.0,3107.13,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,12710.433388138796,16689.641208054163,0,0,0,1
101,351.89,0.0,0.0,3016.04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12246.345022580703,16374.53222520595,0,0,0,1
102,0.0,0.0,0.0,3500.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11827.544796358052,16099.890916867416,0,0,0,0
103,610.05,0.0,0.0,10407.19,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11458.999319645074,15867.818674151538,0,0,0,1
104,509.62,0.0,0.0,6962.93,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11145.694904553802,15680.205719839108,0,0,0,1
105,1504.16,69.13,135.59,5659.53,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,23.0,1.0,1.0,0.0,0.0,0.0,10892.39938687398,15538.662534375422,1,0,0,1
106,259.25,0.0,0.0,4132.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10703.373949411745,15444.45581099985,0,0,0,0
107,1071.4,0.0,0.0,5745.02,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10582.063286463308,15398.454378237066,0,0,0,1
108,78.35,0.0,127.02,1015.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10530.807798857564,15401.090194507722,0,0,0,0
109,431.7,0.0,188.95,2802.55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10550.628530767723,15452.338370618458,0,0,0,0
110,578.67,90.9,0.0,6700.55,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,10641.128318557816,15551.718331451335,0,0,0,1
111,0.0,0.0,0.0,2647.34,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,10800.530606863256,15698.315992536665,1,0,0,1
112,669.27,0.0,226.63,1127.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11025.847399975819,15890.824614923142,0,0,0,0
113,149.74,0.0,0.0,2252.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11313.14104859179,16127.600220831959,0,0,0,0
114,0.0,0.0,0.0,3515.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11657.830410634693,16406.726389615986,0,0,0,0
115,0.0,0.0,0.0,1552.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12054.993130685627,16726.083007220463,0,0,0,0
116,0.0,0.0,464.71,1996.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12499.628349620772,17083.41402369996,0,0,0,0
117,0.0,0.0,967.33,1427.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12986.860990108835,17476.390263606096,0,0,0,0
118,0.0,0.0,86.13,3335.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13512.083772468226,17902.664566667394,0,0,0,0
119,508.27,508.27,0.0,3674.44,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,14071.043222589393,18359.91777016833,0,0,0,1
120,0.0,0.0,0.0,1045.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14659.880861375897,18845.895109228706,0,0,0,0
121,0.0,0.0,0.0,2546.84,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15275.141778965066,19358.433418248187,0,0,0,0
122,0.0,0.0,0.0,4926.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17473.831971792835,20128.056515976943,0,0,0,0
123,0.0,573.47,93.05,3798.45,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16763.133754649403,19544.048737432287,1,0,0,1
